Date,MKT,SMB,HML,RMW,CMA,Momentum,XingQuan,YinHe,JiaoYin,MKT_C,SMB_C,HML_C,RMW_C,CMA_C,Momentum_C,XingQuan_C,YinHe_C,JiaoYin_C
20-Jun,7.402,-3.0474,-11.8738,2.8425,-4.1288,10.19,11.16,15.0385,7.78,7.6051,-2.3418,-19.0874,2.9856,-4.0473,14.09,16.97,16.5222,8.19
20-Jul,12.9168,0.0679,-0.3107,0.0596,0.1719,16.94,12.63,9.7395,18.85,20.3188,-2.9795,-12.1845,2.9021,-3.9569,27.13,23.79,24.778,26.63
20-Aug,2.4454,1.0997,0.2683,1.8118,-0.9638,2.63,5.14,-8.3052,5.04,15.3622,1.1676,-0.0424,1.8714,-0.7919,19.57,17.77,1.4343,23.89
20-Sep,-5.731,-1.6818,2.1338,0.5526,0.7858,-5.25,-2.18,-11.905,-1.39,-3.2856,-0.5821,2.4021,2.3644,-0.178,-2.62,2.96,-20.2102,3.65
20-Oct,0.9517,-1.3194,-0.9207,1.8962,-0.9509,3.98,6.72,1.167,0.02,-4.7793,-3.0012,1.2131,2.4488,-0.1651,-1.27,4.54,-10.738,-1.37
20-Nov,4.0396,-1.8996,6.9199,-2.8427,2.9469,2.54,2.75,8.0633,5.68,4.9913,-3.219,5.9992,-0.9465,1.996,6.52,9.47,9.2303,5.7
20-Dec,2.5661,-6.4087,-5.484,3.4486,-5.8186,15.45,7.41,1.3581,11.64,6.6057,-8.3083,1.4359,0.6059,-2.8717,17.99,10.16,9.4214,17.32
21-Jan,-0.2287,-7.3029,-1.671,3.6838,-3.1188,5.22,5.4,2.6525,0.99,2.3374,-13.7116,-7.155,7.1324,-8.9374,20.67,12.81,4.0106,12.63
21-Feb,0.1388,2.4843,5.1155,-0.5721,2.356,-4.6,0.82,-1.982,0.13,-0.0899,-4.8186,3.4445,3.1117,-0.7628,0.62,6.22,0.6705,1.12
21-Mar,-2.577,4.8684,6.7765,0.2744,3.5595,-6.65,-2.69,-10.4124,-2.06,-2.4382,7.3527,11.892,-0.2977,5.9155,-11.25,-1.87,-12.3944,-1.93
21-Apr,1.4595,-1.2493,-2.6605,-0.7182,-0.9198,4.15,3.54,14.639,1.6,-1.1175,3.6191,4.116,-0.4438,2.6397,-2.5,0.85,4.2266,-0.46
21-May,4.9062,-0.1598,-6.4437,-4.4364,3.1266,7.14,0.65,2.9599,5.25,6.3657,-1.4091,-9.1042,-5.1546,2.2068,11.29,4.19,17.5989,6.85
21-Jun,0.5625,-0.7235,-6.3393,-4.3527,-0.7788,0.13,-0.11,19.2447,4.39,5.4687,-0.8833,-12.783,-8.7891,2.3478,7.27,0.54,22.2046,9.64
21-Jul,-4.1226,2.5652,-2.4317,-7.4544,-1.4641,-12.58,-7.9,25.4702,5.62,-3.5601,1.8417,-8.771,-11.8071,-2.2429,-12.45,-8.01,44.7149,10.01
21-Aug,3.6835,2.3502,9.5778,-4.3986,6.4811,-7.26,-1.3,-19.3069,6.7,-0.4391,4.9154,7.1461,-11.853,5.017,-19.84,-9.2,6.1633,12.32
21-Sep,-0.0696,-4.0181,5.392,2.8104,0.2175,6.89,-0.68,-0.6245,-4.95,3.6139,-1.6679,14.9698,-1.5882,6.6986,-0.37,-1.98,-19.9314,1.75
21-Oct,-0.2683,-2.1329,-7.2662,1.3423,-4.5195,2.82,2.25,2.6863,4.35,-0.3379,-6.151,-1.8742,4.1527,-4.302,9.71,1.57,2.0618,-0.6
21-Nov,2.0146,10.5917,-5.3453,-0.3676,-2.035,1.07,4.26,11.1557,9.58,1.7463,8.4588,-12.6115,0.9747,-6.5545,3.89,6.51,13.842,13.93
21-Dec,1.5673,1.8496,5.7154,1.1782,3.0158,-0.49,2.63,-9.1575,1.53,3.5819,12.4413,0.3701,0.8106,0.9808,0.58,6.89,1.9982,11.11
