Date,Market,XingQuan,YinHe,JiaoYin
16-May,-0.51,1.64,1.84,4.81
16-Jun,2.32,4.19,2.78,7.51
16-Jul,1.22,-0.4,-1.58,-0.16
16-Aug,4.06,3.98,0.49,2.96
16-Sep,-2.09,1.25,-3.44,1.05
16-Oct,2.85,0.6,3.51,3.19
16-Nov,4.17,-0.95,2.36,3.39
16-Dec,-4.95,-5.17,-3.68,-2.47
17-Jan,0.84,-2.38,1.98,-0.65
17-Feb,2.57,2.37,1.08,1.78
17-Mar,-0.67,-0.84,1.92,2.34
17-Apr,-2.5,-1.89,3.55,-2.29
17-May,-2,-0.42,-3.88,-5.43
17-Jun,4.09,6.86,9.53,3.55
17-Jul,2.78,0.48,5.06,2.07
17-Aug,2.61,2.92,3.55,4.42
17-Sep,0.65,3.93,3.44,7.18
17-Oct,1.28,7.87,0.13,3.45
17-Nov,-2.71,-0.88,-3.53,-3.13
17-Dec,-0.04,7.48,1.28,2.07
18-Jan,3.81,1.57,5.07,-3.87
18-Feb,-5.77,-3.17,-7.77,2.25
18-Mar,-1.59,-2.54,-1.56,0.8
18-Apr,-3.44,-3.47,-0.04,-3.95
18-May,0.02,6.13,2.24,0.77
18-Jun,-8.01,-9.37,-3.83,-6.75
18-Jul,1.06,-1.1,-0.75,2.34
18-Aug,-5.82,-7.53,-7.05,-4.51
18-Sep,2.46,2.69,2.37,2.68
18-Oct,-8.87,-11.69,-8.48,-8.67
18-Nov,0.66,5.36,-5.26,1.05
18-Dec,-4.38,-4.26,-0.55,-3.5
19-Jan,3.1,7.25,1.9,3.6
19-Feb,15.39,14.96,21.64,15.59
19-Mar,6.36,10.11,8.4,9.48
19-Apr,-0.98,3.8,-4.71,-4.18
19-May,-6.15,-2.88,-5.26,-4.3
19-Jun,3.29,5.79,4.43,1.78
19-Jul,-0.36,1.86,11.51,5.78
19-Aug,-1.11,2.91,4.79,2.78
19-Sep,0.54,-0.21,11.29,2.66
19-Oct,1.08,0.48,2.84,2.25
19-Nov,-1.69,0.69,6.35,3.25
19-Dec,6.72,6.27,9.41,10.97
20-Jan,-1.29,5.01,24.44,7.55
20-Feb,-1.15,2.34,13.67,2.21
20-Mar,-5.73,-6.59,-20.91,-5.2
20-Apr,4.59,8.74,13.34,7.17
20-May,0.2,5.81,1.48,0.41
20-Jun,7.4,11.16,15.04,7.78
20-Jul,12.92,12.63,9.74,18.85
20-Aug,2.45,5.14,-8.31,5.04
20-Sep,-5.73,-2.18,-11.91,-1.39
20-Oct,0.95,6.72,1.17,0.02
20-Nov,4.04,2.75,8.06,5.68
20-Dec,2.57,7.41,1.36,11.64
21-Jan,-0.23,5.4,2.65,0.99
21-Feb,0.14,0.82,-1.98,0.13
21-Mar,-2.58,-2.69,-10.41,-2.06
21-Apr,1.46,3.54,14.64,1.6
21-May,4.91,0.65,2.96,5.25
21-Jun,0.56,-0.11,19.24,4.39
21-Jul,-4.12,-7.9,25.47,5.62
21-Aug,3.68,-1.3,-19.31,6.7
21-Sep,-0.07,-0.68,-0.62,-4.95
21-Oct,-0.27,2.25,2.69,4.35
21-Nov,2.01,4.26,11.16,9.58
21-Dec,1.57,2.63,-9.16,1.53
