Date,HSI
2014-08-28,-177.75000 
2014-08-29,1.06055 
2014-09-01,10.02930 
2014-09-02,-3.07031 
2014-09-03,568.92969 
2014-09-04,-20.02930 
2014-09-05,-57.76953 
2014-09-08,-49.70117 
2014-09-10,-485.08984 
2014-09-11,-42.71875 
2014-09-12,-67.32031 
2014-09-15,-238.33008 
2014-09-16,-220.98047 
2014-09-17,240.40039 
2014-09-18,-207.68945 
2014-09-19,137.43945 
2014-09-22,-350.66992 
2014-09-23,-118.41992 
2014-09-24,84.53906 
2014-09-25,-153.47852 
2014-09-26,-89.72070 
2014-09-29,-449.19922 
2014-09-30,-296.23047 
2014-10-03,131.58008 
2014-10-06,250.47852 
2014-10-07,107.48047 
2014-10-08,-159.18945 
2014-10-09,271.19922 
2014-10-10,-445.99023 
2014-10-13,54.84180 
2014-10-14,-95.41016 
2014-10-15,92.08008 
2014-10-16,-239.11133 
2014-10-17,122.27149 
2014-10-20,47.04883 
2014-10-21,18.32031 
2014-10-22,315.39063 
2014-10-23,-70.79102 
2014-10-24,-30.98047 
2014-10-27,-158.96875 
2014-10-28,377.12891 
2014-10-29,299.50977 
2014-10-30,-117.83008 
2014-10-31,296.02148 
2014-11-03,-82.08984 
2014-11-04,-70.31055 
2014-11-05,-150.04102 
2014-11-06,-46.30859 
2014-11-07,-99.07031 
2014-11-10,194.45899 
2014-11-11,63.58008 
2014-11-12,129.90039 
2014-11-13,81.75977 
2014-11-14,67.44141 
2014-11-17,-290.30078 
2014-11-18,-267.91016 
2014-11-19,-155.85938 
2014-11-20,-23.66992 
2014-11-21,87.47852 
2014-11-24,456.02148 
2014-11-25,-49.23047 
2014-11-26,268.07031 
2014-11-27,-107.70117 
2014-11-28,-16.83008 
2014-12-01,-620.00000 
2014-12-02,286.85156 
2014-12-03,-225.68164 
2014-12-04,403.94141 
2014-12-05,170.08008 
2014-12-08,45.02930 
2014-12-09,-561.83984 
2014-12-10,38.68945 
2014-12-11,-211.98047 
2014-12-12,-63.33984 
2014-12-15,-221.34961 
2014-12-16,-357.34961 
2014-12-17,-84.66016 
2014-12-18,246.37109 
2014-12-19,284.41992 
2014-12-22,291.93945 
2014-12-23,-74.88086 
2014-12-24,15.65039 
2014-12-29,423.83984 
2014-12-30,-272.08008 
2014-12-31,103.93945 
2015-01-02,116.26172 
2015-01-05,0.01953 
2015-01-06,-235.91016 
2015-01-07,195.84961 
2015-01-08,154.26953 
2015-01-09,84.41992 
2015-01-12,106.51172 
2015-01-13,189.50977 
2015-01-14,-103.37109 
2015-01-15,238.31055 
2015-01-16,-247.39063 
2015-01-19,-365.02930 
2015-01-20,212.66992 
2015-01-21,401.41992 
2015-01-22,170.05078 
2015-01-23,327.81836 
2015-01-26,59.45117 
2015-01-27,-102.62109 
2015-01-28,54.53125 
2015-01-29,-265.96094 
2015-01-30,-88.79883 
2015-02-02,-22.31055 
2015-02-03,70.03906 
2015-02-04,124.98047 
2015-02-05,85.73047 
2015-02-06,-86.09961 
2015-02-09,-158.39063 
2015-02-10,7.09961 
2015-02-11,-213.08008 
2015-02-12,107.13086 
2015-02-13,260.38867 
2015-02-16,43.99023 
2015-02-17,58.35156 
2015-02-18,47.19922 
2015-02-23,4.67969 
2015-02-24,-86.68945 
2015-02-25,28.20898 
2015-02-26,123.78125 
2015-02-27,-78.77148 
2015-03-02,64.15039 
2015-03-03,-184.66016 
2015-03-04,-237.39844 
2015-03-05,-272.34180 
2015-03-06,-29.03906 
2015-03-09,-40.94922 
2015-03-10,-226.07031 
2015-03-11,-179.00977 
2015-03-12,79.99024 
2015-03-13,25.25000 
2015-03-16,126.33984 
2015-03-17,-48.06055 
2015-03-18,218.58984 
2015-03-19,348.81055 
2015-03-20,-93.65039 
2015-03-23,119.26953 
2015-03-24,-94.91016 
2015-03-25,128.63086 
2015-03-26,-31.15039 
2015-03-27,-10.88086 
2015-03-30,368.91992 
2015-03-31,45.77148 
2015-04-01,181.85938 
2015-04-02,192.89063 
2015-04-08,961.21875 
2015-04-09,707.53125 
2015-04-10,328.00000 
2015-04-13,743.94922 
2015-04-14,-454.84961 
2015-04-15,57.33008 
2015-04-16,120.89063 
2015-04-17,-86.59180 
2015-04-20,-558.18945 
2015-04-21,755.56055 
2015-04-22,83.35938 
2015-04-23,-106.15039 
2015-04-24,233.28125 
