firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
108039033,2017,0.84891605,0.66666669,"Leather, fur, feathers and footwear industry",0,0.60416669,0.60416669,10.5,1,1.9459101
108039035,2017,,0.40277779,Chemical industry,0,0.625,0.625,14,0,2.6390574
108039036,2017,,0.5138889,Electrical machinery and equipment,0,,,6,1,2.9444389
108039040,2017,0.006666576,0.3611111,Electrical machinery and equipment,0,0.72916669,0.64583331,9,1,2.3025851
108039041,2017,,0.53472221,Electrical machinery and equipment,0,,0.60416669,6,0,2.5649493
108039048,2017,-0.58286738,0.6111111,Electrical machinery and equipment,0,,,9,0,1.9459101
108039051,2017,-0.96839845,0.6111111,Food manufacturing,0,0.4375,0.4375,10.5,0,1.9459101
108039052,2017,-0.89058894,0.68055558,Electrical machinery and equipment,0,0.1875,0.4375,13.5,0,2.0794415
108039054,2017,-0.16122709,0.375,Pharmaceutical industry,0,,,15.5,1,1.0986123
108039055,2017,-2.3169143,0.7361111,Others,0,0.25,0.25,15,1,3.2580965
108039059,2017,-0.46718529,0.56944442,Electrical machinery and equipment,0,0.20833334,0.45833334,9,0,1.7917595
108039060,2017,-2.0173988,0.55555558,Electrical machinery and equipment,0,0.4375,0.4375,15,0,0.69314718
108039061,2017,-0.96000016,0.68055558,Furniture manufacturing,0,0.4375,0.3125,12,0,1.3862944
108039064,2017,-1.0560737,0.65277779,Electrical machinery and equipment,0,0.60416669,0.60416669,9,0,1.3862944
110040002,2017,1.1605476,0.34027779,Rubber and plastic products industry,0,0.47916669,0.41666669,15.5,0,2.4849067
110040004,2017,0.98680812,0.7013889,Nonmetallic mineral products industry,0,0.5625,0.66666669,10,1,2.0794415
110040010,2017,0.2495701,0.62152779,Nonmetallic mineral products industry,0,0.75,0.6875,9,0,2.7725887
110040011,2017,-0.97757351,0.40625,Nonferrous metal industry,0,0.375,0.39583334,13.5,1,2.9444389
110040013,2017,0.95423734,0.36805555,Nonferrous metal industry,0,0.625,0.625,,1,2.6390574
110040015,2017,2.1388669,0.57291669,Electrical machinery and equipment,0,0.66666669,0.66666669,15.666667,1,2.7080503
110040019,2017,0.48661083,0.52777779,Nonferrous metal industry,0,0.52083331,0.70833331,15,1,2.4849067
110040020,2017,-0.82795614,0.5173611,Nonferrous metal industry,0,0.91666669,0.91666669,12,1,2.1972246
110040021,2017,0.11198427,0.5,"Education, art, sport and entertainment product",0,0.66666669,0.54166669,6,0,1.7917595
110040022,2017,2.9199355,0.6111111,"Education, art, sport and entertainment product",1,0.27083334,0.29166669,11,1,3.0445225
110040023,2017,0.6606642,0.43055555,Nonferrous metal industry,0,0.45833334,0.45833334,,1,2.5649493
110040025,2017,-0.76406121,0.53472221,Electrical machinery and equipment,0,0.77083331,0.52083331,14,1,2.8332133
110040027,2017,-0.074224189,0.6736111,Nonferrous metal industry,0,0.47916669,0.47916669,15,1,3.2188759
110040029,2017,-0.29540697,0.6736111,"Leather, fur, feathers and footwear industry",0,0.75,0.75,11,1,2.8332133
110040033,2017,-1.0477489,0.22222222,General equipment manufacturing industry,0,,,14,0,2.6390574
110040035,2017,-1.0931689,0.54166669,Nonferrous metal industry,0,,,9,0,2.3025851
110040036,2017,-0.59671825,0.47569445,Furniture manufacturing,0,,0.85416669,15,1,2.3978953
110040044,2017,0.20328534,0.4861111,Electrical machinery and equipment,0,0.47916669,0.47916669,13.5,1,2.3978953
110040045,2017,-0.77796835,0.56944442,Paper and paper product industry,0,0.27083334,0.39583334,9,1,2.1972246
110040047,2017,0.77151585,0.39583334,Electrical machinery and equipment,0,0.79166669,0.625,,0,2.4849067
110040051,2017,0.20342362,0.5625,Rubber and plastic products industry,0,0.39583334,,10.5,0,3.2188759
110040053,2017,0.38632429,0.81944442,Wood processing and wood product industry,0,0.58333331,0.58333331,7.5,0,1.7917595
110040058,2017,-1.7912747,0.4548611,Metal product industry,0,0.79166669,0.54166669,10.5,0,2.3025851
111041001,2017,-0.24068959,0.71875,Electrical machinery and equipment,1,0.27083334,0.47916669,15.333333,1,2.9444389
