id_n,year,income,debt_r,FinanceCF,Inv,lAsset/Size,cash,Inv_income,OperationCF,M&A
2333,2017,6.67650 ,0.37866 ,6.52257 ,30.65130 ,20.65452 ,0.35303 ,0.13306 ,-1,1
2319,2015,1.15031 ,0.37529 ,0.26157 ,0.06548 ,21.69185 ,0.03236 ,0.05226 ,1,1
2319,2010,0.58389 ,0.37529 ,-0.15017 ,0.04927 ,21.69185 ,0.03236 ,0.01535 ,1,0
1800,2017,23.22622 ,0.37000 ,23.87240 ,13.80551 ,20.74139 ,0.47929 ,-0.01178 ,42,0
2319,2019,1.95538 ,0.35597 ,3.70264 ,6.92773 ,21.77642 ,0.02725 ,0.06107 ,2,0
2319,2014,1.14182 ,0.35282 ,1.31175 ,3.00668 ,21.73805 ,0.01374 ,0.10067 ,1,1
1800,2014,31.15885 ,0.34003 ,56.28735 ,15.55287 ,20.15229 ,0.55932 ,0.60003 ,8,0
1800,2009,18.25564 ,0.34003 ,17.38481 ,1.44254 ,20.15229 ,0.55932 ,0.18231 ,26,0
2319,2011,1.34793 ,0.32419 ,-0.15581 ,0.06966 ,21.14771 ,0.03262 ,0.03405 ,2,1
2600,2017,0.90151 ,0.30386 ,-0.55055 ,1.45782 ,21.92763 ,0.10248 ,-0.04711 ,4,0
2899,2012,20.25486 ,0.26842 ,14.05023 ,5.27420 ,19.86151 ,0.13000 ,1.51481 ,13,0
2899,2017,10.81379 ,0.26842 ,-6.33087 ,2.34589 ,19.86151 ,0.13000 ,0.47376 ,23,1
135,2018,6.63768 ,0.71026 ,-6.28877 ,0.07089 ,21.31416 ,0.14006 ,0.64743 ,9,0
66,2013,1.74165 ,0.70047 ,-0.48273 ,0.02225 ,22.87828 ,0.16996 ,0.01831 ,2,0
390,2015,1.70956 ,0.68832 ,0.94675 ,0.82338 ,23.02124 ,0.17283 ,0.02491 ,3,1
66,2014,2.18085 ,0.68724 ,-1.06950 ,1.49451 ,22.85007 ,0.04482 ,0.49547 ,2,0
390,2012,2.77696 ,0.67405 ,5.93045 ,1.09099 ,22.10750 ,0.10981 ,0.01904 ,-1,1
390,2011,3.10843 ,0.65438 ,9.51370 ,0.76110 ,21.89153 ,0.12910 ,-0.03451 ,-4,0
489,2015,0.21764 ,0.62335 ,0.01075 ,0.02027 ,24.89188 ,0.18229 ,0.18134 ,0,0
489,2010,0.22565 ,0.62335 ,-0.05114 ,0.03971 ,24.89188 ,0.18229 ,0.00458 ,0,0
489,2018,0.19356 ,0.62189 ,0.03946 ,0.00715 ,25.02141 ,0.16614 ,0.21019 ,0,0
489,2019,0.22545 ,0.60843 ,0.17352 ,,24.89427 ,0.13924 ,0.23998 ,0,1
489,2014,0.22666 ,0.60843 ,0.12694 ,0.00000 ,24.89427 ,0.13924 ,0.19683 ,0,1
386,2006,0.56150 ,0.53311 ,0.00848 ,0.71815 ,25.66889 ,0.15545 ,0.00856 ,1,1
728,2013,0.94001 ,0.51891 ,0.22950 ,0.00000 ,23.92445 ,0.11142 ,0.03147 ,4,1
762,2013,13.02998 ,0.51722 ,1.82994 ,0.00000 ,20.77443 ,0.11311 ,0.00000 ,75,1
902,2009,0.23772 ,0.51014 ,0.39608 ,0.00113 ,23.90111 ,0.13392 ,0.03388 ,1,1
902,2014,0.79390 ,0.51014 ,-0.45402 ,0.03286 ,23.90111 ,0.12361 ,0.05820 ,1,0
151,2010,0.01108 ,0.50582 ,-0.00099 ,0.00000 ,24.41122 ,0.04911 ,0.00000 ,0,0
728,2012,0.75215 ,0.50453 ,-0.75249 ,0.00000 ,23.99342 ,0.13545 ,0.00650 ,3,1
386,2011,0.74377 ,0.50142 ,-0.01790 ,0.06806 ,25.66909 ,0.14563 ,0.03073 ,1,1
386,2005,0.44974 ,0.50142 ,-0.05733 ,0.44908 ,25.66909 ,0.14563 ,0.00736 ,1,0
762,2011,7.12947 ,0.49995 ,11.44688 ,0.00000 ,20.48144 ,0.03215 ,0.00000 ,85,1
135,2011,10.65012 ,0.48656 ,8.09816 ,13.80133 ,20.70430 ,0.54737 ,2.62635 ,10,0
762,2010,6.61594 ,0.48507 ,27.47841 ,0.00000 ,20.39676 ,0.03941 ,0.00000 ,92,0
135,2010,3.58114 ,0.46702 ,3.23386 ,0.28776 ,20.92760 ,0.52310 ,1.83907 ,1,0
135,2015,4.01645 ,0.46702 ,-5.54412 ,0.00000 ,20.92760 ,0.52310 ,-1.53908 ,11,0
489,2017,1.29774 ,0.46542 ,-0.28735 ,,23.22107 ,0.03712 ,1.29823 ,0,1
386,2010,0.70112 ,0.46459 ,-0.38063 ,0.05947 ,25.71978 ,0.12603 ,0.03829 ,1,0
358,2019,8.95750 ,0.46403 ,33.06839 ,74.05370 ,19.67334 ,,-0.06050 ,24,0
728,2014,0.88194 ,0.46367 ,-0.39161 ,0.11339 ,23.99550 ,0.13604 ,0.00152 ,4,1
135,2019,12.64983 ,0.45870 ,-7.23576 ,9.26232 ,20.79900 ,0.32694 ,1.17737 ,15,0
135,2014,9.73176 ,0.45870 ,-8.26092 ,0.02686 ,20.92910 ,0.32694 ,0.79117 ,11,0
489,2013,1.01212 ,0.45635 ,-0.18009 ,0.00302 ,23.08259 ,0.00583 ,1.07986 ,-1,0
1044,2015,0.18409 ,0.45426 ,-0.21839 ,0.00000 ,24.16355 ,0.06993 ,0.00000 ,0,0
151,2011,0.01350 ,0.45065 ,0.00309 ,0.00000 ,24.40878 ,0.04134 ,0.00000 ,0,0
151,2015,0.01928 ,0.45065 ,-0.01712 ,0.00000 ,24.40878 ,0.04134 ,-0.00003 ,0,0
390,2017,2.09242 ,0.44862 ,0.15481 ,1.91028 ,23.02124 ,0.12113 ,0.15391 ,3,0
390,2016,1.68243 ,0.44739 ,-1.41338 ,1.74822 ,23.13539 ,0.14713 ,0.06561 ,5,1
902,2017,0.11036 ,0.44099 ,0.15808 ,0.00022 ,23.95748 ,0.11117 ,0.08537 ,1,1
902,2013,0.68630 ,0.44099 ,-0.87607 ,0.08736 ,23.95748 ,0.11117 ,0.03309 ,2,1
1044,2014,0.20224 ,0.44024 ,-0.08823 ,0.00000 ,23.99733 ,0.09154 ,0.00000 ,0,0
66,2012,0.91053 ,0.43592 ,-0.25659 ,0.66605 ,23.56195 ,0.10724 ,0.21611 ,1,0
66,2010,0.86635 ,0.43172 ,-0.32754 ,0.34022 ,23.55878 ,0.16577 ,0.24491 ,1,0
1109,2011,4.89622 ,0.42827 ,5.58171 ,0.00000 ,21.80016 ,0.07027 ,0.01544 ,-2,0
1109,2016,13.07673 ,0.42827 ,-1.41219 ,0.69881 ,21.80016 ,0.07027 ,0.20460 ,5,0
902,2006,0.47621 ,0.42587 ,0.29584 ,0.02528 ,23.54669 ,0.11163 ,0.05460 ,1,1
992,2011,2.18035 ,0.42079 ,-2.27029 ,0.00000 ,18.91586 ,0.31871 ,-0.00137 ,6,0
1044,2010,0.20218 ,0.41256 ,0.04892 ,,23.43319 ,0.00654 ,0.00000 ,0,0
358,2014,9.79148 ,0.40600 ,6.56381 ,34.37022 ,19.80590 ,,0.05993 ,4,0
489,2016,1.49701 ,0.40526 ,-0.39149 ,,23.07594 ,0.04337 ,1.28994 ,0,1
489,2012,1.20776 ,0.40526 ,-0.46435 ,0.00266 ,23.07594 ,0.04337 ,0.03862 ,0,0
1088,2018,3.18251 ,0.40172 ,-2.02886 ,1.47222 ,23.81610 ,0.04575 ,0.02033 ,4,0
1109,2012,6.59141 ,0.40106 ,-2.19153 ,0.00000 ,21.69942 ,0.13666 ,0.15605 ,6,0
728,2010,1.76353 ,0.39738 ,-3.27022 ,0.00346 ,23.19608 ,0.32594 ,0.04150 ,6,1
1109,2019,18.81536 ,0.39621 ,0.65334 ,4.91651 ,21.89937 ,0.09900 ,1.14683 ,10,1
992,2012,2.39617 ,0.39427 ,-1.29807 ,0.05468 ,19.30887 ,0.29110 ,-0.00350 ,8,0
902,2018,0.07574 ,0.39253 ,-0.08610 ,0.00002 ,23.98333 ,0.18200 ,0.05930 ,1,1
762,2015,13.54374 ,0.39100 ,3.30705 ,4.38302 ,20.75890 ,0.08798 ,-0.77296 ,81,0
762,2014,18.61820 ,0.38579 ,-10.48654 ,0.00000 ,20.56739 ,0.10227 ,0.00000 ,103,1
358,2013,11.50021 ,0.38474 ,5.79529 ,32.76670 ,19.83517 ,,0.02257 ,12,0
358,2009,7.71961 ,0.38474 ,-1.99762 ,5.42652 ,19.83517 ,0.00000 ,-0.62030 ,4,0
762,2017,2.50224 ,0.38323 ,-27.41943 ,0.75463 ,20.75890 ,0.02342 ,1.41565 ,82,1
1109,2015,11.04034 ,0.38087 ,-3.08162 ,2.95432 ,21.80357 ,0.07572 ,0.10121 ,14,0
728,2016,0.91379 ,0.37742 ,-0.36234 ,0.24027 ,23.99550 ,0.13604 ,0.00497 ,4,1
762,2016,0.68154 ,0.37653 ,19.88719 ,0.05998 ,20.86332 ,0.01829 ,0.31034 ,65,1
358,2010,14.19361 ,0.37585 ,18.46096 ,5.15064 ,19.85887 ,0.00000 ,0.21373 ,-5,0
1186,2010,0.61798 ,0.37141 ,1.02580 ,0.09462 ,23.03563 ,0.15219 ,0.00019 ,1,0
