Date,Open,High,Low,Close,Adj Close,Volume
2023-03-23,45.759998,51.500000,45.250000,50.000000,49.910072,92458953
2023-03-24,51.150002,52.820000,49.320000,52.230000,52.136059,85860366
2023-03-27,51.000000,57.040001,50.799999,56.040001,55.939209,79971210
2023-03-28,54.700001,56.049999,53.299999,53.810001,53.713219,58615336
2023-03-29,54.000000,57.779999,53.880001,55.549999,55.450089,64673215
2023-03-30,55.080002,56.490002,52.000000,55.000000,54.901077,53093610
2023-03-31,54.610001,60.200001,53.610001,58.900002,58.794067,60914995
2023-04-03,60.599998,68.550003,59.599998,67.239998,67.119064,76753469
2023-04-04,66.080002,69.750000,65.010002,67.099998,66.979317,55628233
2023-04-06,66.989998,73.309998,65.610001,67.000000,66.879494,69054408
2023-04-07,67.709999,71.699997,66.510002,70.500000,70.373199,49490145
2023-04-10,71.000000,77.879997,67.870003,70.180000,70.053780,60137906
2023-04-11,69.050003,72.000000,65.980003,68.300003,68.177162,55244083
2023-04-12,66.910004,69.660004,65.000000,68.570000,68.446671,48232278
2023-04-13,70.660004,71.980003,63.799999,64.730003,64.613579,57923752
2023-04-14,65.570000,67.230003,63.770000,66.510002,66.390381,47381559
2023-04-17,65.300003,66.260002,63.860001,64.680000,64.563667,31945471
2023-04-18,65.019997,77.620003,64.400002,74.480003,74.346046,79815628
2023-04-19,74.480003,78.519997,74.000000,75.620003,75.483994,64576666
2023-04-20,76.580002,82.000000,76.010002,81.000000,80.854317,61684979
2023-04-21,79.989998,81.370003,77.000000,78.190002,78.049370,47221891
2023-04-24,80.570000,89.160004,80.559998,85.410004,85.256386,64532461
2023-04-25,83.190002,86.879997,78.599998,80.889999,80.744514,65301718
2023-04-26,81.910004,85.529999,78.379997,79.449997,79.307098,66490389
2023-04-27,75.750000,82.500000,75.309998,78.489998,78.348831,59863949
2023-04-28,79.559998,91.110001,78.830002,90.000000,89.838127,66240980
2023-05-04,86.500000,87.800003,81.680000,85.199997,85.046761,57599973
2023-05-05,86.080002,87.559998,75.879997,78.389999,78.249008,59126645
2023-05-08,78.199997,81.629997,74.010002,77.440002,77.300720,48267743
2023-05-09,77.550003,84.800003,77.550003,81.940002,81.792625,47371182
2023-05-10,83.370003,84.690002,74.169998,75.800003,75.663673,53508808
2023-05-11,75.559998,76.800003,72.199997,72.540001,72.409531,44069788
2023-05-12,72.449997,76.790001,72.050003,75.830002,75.693619,43043368
2023-05-15,77.000000,79.870003,72.489998,79.599998,79.456833,46599084
2023-05-16,79.160004,79.790001,75.930000,76.820000,76.681831,39440083
2023-05-17,77.000000,82.519997,76.019997,79.010002,78.867897,43480617
2023-05-18,88.500000,94.809998,85.550003,94.809998,94.639473,56136630
2023-05-19,96.010002,99.589996,90.809998,93.550003,93.381744,78514443
2023-05-22,93.550003,93.879997,87.360001,89.889999,89.728325,48079581
2023-05-23,90.250000,92.419998,86.970001,87.199997,87.043159,52994085
2023-05-24,85.300003,92.209999,85.080002,87.669998,87.512314,57179784
2023-05-25,95.879997,99.889999,90.000000,93.180000,93.012413,76534059
2023-05-26,93.260002,99.349998,91.300003,91.449997,91.285515,60941003
2023-05-29,94.379997,102.379997,94.010002,96.000000,95.827339,62419383
2023-05-30,98.750000,110.000000,96.129997,109.000000,108.803955,64626729
2023-05-31,106.029999,108.089996,102.300003,107.500000,107.306656,46050564
2023-06-01,105.000000,110.989998,104.000000,108.040001,107.845680,38338994
2023-06-02,111.150002,112.800003,104.209999,106.699997,106.508087,28843619
2023-06-05,105.000000,115.379997,105.000000,111.199997,110.999992,38850479
2023-06-06,112.000000,113.500000,106.180000,107.309998,107.309998,32056415
2023-06-07,107.099998,111.099998,105.529999,108.110001,108.110001,28417824
2023-06-08,106.099998,109.589996,103.269997,106.720001,106.720001,34375674
2023-06-09,106.699997,118.500000,103.500000,115.199997,115.199997,57981813
2023-06-12,115.199997,122.639999,114.000000,121.500000,121.500000,40149743
2023-06-13,120.000000,123.980003,118.040001,121.550003,121.550003,27962460
2023-06-14,124.000000,134.559998,121.699997,129.550003,129.550003,40931952
2023-06-15,133.899994,139.880005,132.000000,134.789993,134.789993,44066491
2023-06-16,136.350006,156.500000,132.639999,155.000000,155.000000,45844670
2023-06-19,158.089996,164.800003,153.460007,160.009995,160.009995,49189414
2023-06-20,160.009995,170.000000,156.100006,170.000000,170.000000,45209399
2023-06-21,165.660004,166.000000,157.050003,159.899994,159.899994,47377741
2023-06-26,156.559998,158.000000,145.240005,148.000000,148.000000,62228126
